hemisphere,surf_type,model_type,solver,gnn_layers,epochs,validation_error
lh,wm,baseline,rk4,NA,0,0.049808612825943094
lh,wm,baseline,rk4,NA,20,0.03774093351365019
lh,wm,baseline,rk4,NA,40,0.03675255727008836
lh,wm,baseline,rk4,NA,60,0.036215753613666087
lh,wm,baseline,rk4,NA,70,0.0360739592498907
lh,wm,baseline,rk4,NA,80,0.03655299424908349
lh,wm,baseline,rk4,NA,90,0.03602365904953331
lh,wm,baseline,rk4,NA,100,0.03573419868691166
lh,wm,baseline,rk4,NA,110,0.035583862474344766
lh,wm,baseline,rk4,NA,120,0.03551901148778692
lh,wm,baseline,rk4,NA,130,0.036108915772839
lh,wm,baseline,rk4,NA,140,0.03563367217480093
lh,wm,baseline,rk4,NA,150,0.03548804131147837
lh,wm,baseline,rk4,NA,160,0.03561217385265928
lh,wm,baseline,rk4,NA,170,0.035470012931157195
lh,wm,baseline,rk4,NA,180,0.03541515816950464
lh,wm,baseline,rk4,NA,190,0.035226803259414234
lh,wm,baseline,rk4,NA,200,0.035164926571426273
lh,wm,baseline,rk4,NA,210,0.035519409658294976
lh,wm,baseline,rk4,NA,220,0.03516737994906525
lh,wm,baseline,rk4,NA,230,0.03517341937022765
lh,wm,baseline,rk4,NA,240,0.035005412051947946
lh,wm,baseline,rk4,NA,250,0.035159437896348615
lh,wm,baseline,rk4,NA,260,0.03500683995862973
lh,wm,baseline,rk4,NA,270,0.03496051892304014
lh,wm,baseline,rk4,NA,270,0.03498979069639784
lh,wm,baseline,rk4,NA,280,0.035098556446459483
lh,wm,baseline,rk4,NA,290,0.035072118595868736
lh,wm,baseline,rk4,NA,300,0.03500897165740126
lh,wm,baseline,rk4,NA,310,0.034895197445464494
lh,wm,baseline,rk4,NA,320,0.0348347413882007
lh,wm,baseline,rk4,NA,330,0.0348770862070398
lh,wm,baseline,rk4,NA,340,0.03489504719066739
lh,wm,baseline,rk4,NA,350,0.03484153142474905
lh,wm,baseline,rk4,NA,360,0.034976052214413605
lh,wm,baseline,rk4,NA,370,0.03487476495702767
lh,wm,baseline,rk4,NA,380,0.03523330780871188
lh,wm,baseline,rk4,NA,390,0.03477348679458875
lh,wm,baseline,rk4,NA,400,0.03514948818112065
rh,wm,baseline,rk4,NA,0,0.04905206295571306
rh,wm,baseline,rk4,NA,20,0.03860659979119223
rh,wm,baseline,rk4,NA,40,0.03775755851228464
rh,wm,baseline,rk4,NA,60,0.03811352783894359
rh,wm,baseline,rk4,NA,70,0.03675509946458925
rh,wm,baseline,rk4,NA,80,0.036638359421791895
rh,wm,baseline,rk4,NA,90,0.03626828941472421
rh,wm,baseline,rk4,NA,100,0.036313637886858735
rh,wm,baseline,rk4,NA,110,0.03629711525342106
rh,wm,baseline,rk4,NA,120,0.036114928661845624
rh,wm,baseline,rk4,NA,130,0.036193788250314135
rh,wm,baseline,rk4,NA,140,0.035984112244101384
rh,wm,baseline,rk4,NA,150,0.03599618751117117
rh,wm,baseline,rk4,NA,160,0.03616356505141272
rh,wm,baseline,rk4,NA,170,0.035764894321267816
rh,wm,baseline,rk4,NA,180,0.0361164136785223
rh,wm,baseline,rk4,NA,190,0.03589400258251458
rh,wm,baseline,rk4,NA,200,0.03580322434823631
rh,wm,baseline,rk4,NA,210,0.036045628050864066
rh,wm,baseline,rk4,NA,220,0.03569716572483544
rh,wm,baseline,rk4,NA,230,0.035783416714021486
rh,wm,baseline,rk4,NA,240,0.03594914013429561
rh,wm,baseline,rk4,NA,250,0.03549985552220686
rh,wm,baseline,rk4,NA,260,0.03546333874541672
rh,wm,baseline,rk4,NA,270,0.03561737769908585
rh,wm,baseline,rk4,NA,280,0.035737999183013396
rh,wm,baseline,rk4,NA,290,0.03601898223960547
rh,wm,baseline,rk4,NA,300,0.035649575379622926
rh,wm,baseline,rk4,NA,310,0.035457271224004216
rh,wm,baseline,rk4,NA,320,0.036563957580475634
rh,wm,baseline,rk4,NA,330,0.035333601803797826
rh,wm,baseline,rk4,NA,340,0.035490104798147265
rh,wm,baseline,rk4,NA,350,0.035520579770271635
rh,wm,baseline,rk4,NA,360,0.035359542756662546
rh,wm,baseline,rk4,NA,370,0.03571975932949311
rh,wm,baseline,rk4,NA,380,0.03560154367858496
rh,wm,baseline,rk4,NA,390,0.03556975931634701
rh,wm,baseline,rk4,NA,400,0.035277908864372876
lh,gm,baseline,rk4,NA,0,0.16151699347919302
lh,gm,baseline,rk4,NA,20,0.057821364956406135
lh,gm,baseline,rk4,NA,40,0.04582281940985985
lh,gm,baseline,rk4,NA,60,0.04399241151986644
